"variable","lower","upper","x","y","description"
"2-pointers per game",-3.73800667337535,-2.09790809382537,0.0961538461538462,-2.91795738360036,"2-pointers per game"
"2-pointers per game",-3.67202909053427,-2.06798955979167,0.148148148148148,-2.87000932516297,"2-pointers per game"
"2-pointers per game",-3.66098245545297,-2.06296337670492,0.156862745098039,-2.86197291607895,"2-pointers per game"
"2-pointers per game",-3.64855912255996,-2.05730480203005,0.166666666666667,-2.85293196229501,"2-pointers per game"
"2-pointers per game",-3.61523440734583,-2.04209398165774,0.192982456140351,-2.82866419450179,"2-pointers per game"
"2-pointers per game",-3.59986491634788,-2.03506253835393,0.205128205128205,-2.81746372735091,"2-pointers per game"
"2-pointers per game",-3.58651037661578,-2.02894442924877,0.215686274509804,-2.80772740293227,"2-pointers per game"
"2-pointers per game",-3.57824605847291,-2.0251542834805,0.222222222222222,-2.8017001709767,"2-pointers per game"
"2-pointers per game",-3.54314700130434,-2.00902224018715,0.25,-2.77608462074575,"2-pointers per game"
"2-pointers per game",-3.50030362830095,-1.98925097195506,0.283950617283951,-2.74477730012801,"2-pointers per game"
"2-pointers per game",-3.49807972438091,-1.98822221155374,0.285714285714286,-2.74315096796733,"2-pointers per game"
"2-pointers per game",-3.49057533534533,-1.98474889564287,0.291666666666667,-2.7376621154941,"2-pointers per game"
"2-pointers per game",-3.47459441716389,-1.97734273392784,0.304347826086957,-2.72596857554587,"2-pointers per game"
"2-pointers per game",-3.44943871369669,-1.96565765401889,0.324324324324324,-2.70754818385779,"2-pointers per game"
"2-pointers per game",-3.44785651453354,-1.96492158389421,0.325581395348837,-2.70638904921387,"2-pointers per game"
"2-pointers per game",-3.41904601710665,-1.95149459965329,0.348484848484849,-2.68527030837997,"2-pointers per game"
"2-pointers per game",-3.4119037755582,-1.94815891401635,0.354166666666667,-2.68003134478727,"2-pointers per game"
"2-pointers per game",-3.40705525292334,-1.94589284827623,0.358024691358025,-2.67647405059978,"2-pointers per game"
"2-pointers per game",-3.39399443036447,-1.93978195453962,0.368421052631579,-2.66688819245204,"2-pointers per game"
"2-pointers per game",-3.39079610356277,-1.93828403665288,0.370967741935484,-2.66454007010782,"2-pointers per game"
"2-pointers per game",-3.385732937292,-1.93591152649049,0.375,-2.66082223189124,"2-pointers per game"
"2-pointers per game",-3.37650281097503,-1.93158262316251,0.382352941176471,-2.65404271706877,"2-pointers per game"
"2-pointers per game",-3.37054976209489,-1.92878801460099,0.387096774193548,-2.64966888834794,"2-pointers per game"
"2-pointers per game",-3.36332305212137,-1.92539268343379,0.392857142857143,-2.64435786777758,"2-pointers per game"
"2-pointers per game",-3.33602265361322,-1.91253781342143,0.414634146341463,-2.62428023351732,"2-pointers per game"
"2-pointers per game",-3.33347626318594,-1.91133648508766,0.416666666666667,-2.6224063741368,"2-pointers per game"
"2-pointers per game",-3.33347626318594,-1.91133648508766,0.416666666666667,-2.6224063741368,"2-pointers per game"
"2-pointers per game",-3.32695244043718,-1.90825686688555,0.421875,-2.61760465366136,"2-pointers per game"
"2-pointers per game",-3.32695244043718,-1.90825686688555,0.421875,-2.61760465366136,"2-pointers per game"
"2-pointers per game",-3.32612561137005,-1.90786636760448,0.422535211267606,-2.61699598948727,"2-pointers per game"
"2-pointers per game",-3.31373427782854,-1.90200900074625,0.432432432432432,-2.6078716392874,"2-pointers per game"
"2-pointers per game",-3.30632106254477,-1.89850015665948,0.438356164383562,-2.60241060960213,"2-pointers per game"
"2-pointers per game",-3.29870453196771,-1.89489143311698,0.444444444444444,-2.59679798254234,"2-pointers per game"
"2-pointers per game",-3.28877984834818,-1.89018350655382,0.452380952380952,-2.589481677451,"2-pointers per game"
"2-pointers per game",-3.2828272358503,-1.88735672800799,0.457142857142857,-2.58509198192915,"2-pointers per game"
"2-pointers per game",-3.28222197835764,-1.88706917362084,0.457627118644068,-2.58464557598924,"2-pointers per game"
"2-pointers per game",-3.28222197835764,-1.88706917362084,0.457627118644068,-2.58464557598924,"2-pointers per game"
"2-pointers per game",-3.27613253449072,-1.88417477707728,0.4625,-2.580153655784,"2-pointers per game"
"2-pointers per game",-3.26881880975839,-1.88069523272631,0.468354430379747,-2.57475702124235,"2-pointers per game"
"2-pointers per game",-3.26464281439673,-1.87870688887107,0.471698113207547,-2.5716748516339,"2-pointers per game"
"2-pointers per game",-3.26398831950287,-1.87839515463644,0.472222222222222,-2.57119173706966,"2-pointers per game"
"2-pointers per game",-3.26216273208796,-1.8775254808511,0.473684210526316,-2.56984410646953,"2-pointers per game"
"2-pointers per game",-3.24205472405772,-1.86793157315936,0.489795918367347,-2.55499314860854,"2-pointers per game"
"2-pointers per game",-3.22932994591879,-1.86184610066828,0.5,-2.54558802329354,"2-pointers per game"
"2-pointers per game",-3.22002889906762,-1.85739089958938,0.507462686567164,-2.5387098993285,"2-pointers per game"
"2-pointers per game",-3.21911427827634,-1.85695247049991,0.508196721311475,-2.53803337438812,"2-pointers per game"
"2-pointers per game",-3.21800016126763,-1.85641833256726,0.509090909090909,-2.53720924691745,"2-pointers per game"
"2-pointers per game",-3.21661328749815,-1.8557533061033,0.510204081632653,-2.53618329680073,"2-pointers per game"
"2-pointers per game",-3.21152892311527,-1.85331412241824,0.514285714285714,-2.53242152276676,"2-pointers per game"
"2-pointers per game",-3.20625764817687,-1.85078334466666,0.518518518518518,-2.52852049642177,"2-pointers per game"
"2-pointers per game",-3.19967057012494,-1.84761806980159,0.523809523809524,-2.52364431996327,"2-pointers per game"
"2-pointers per game",-3.19655116109354,-1.84611802751467,0.526315789473684,-2.52133459430411,"2-pointers per game"
"2-pointers per game",-3.19089130863073,-1.84339457251981,0.530864197530864,-2.51714294057527,"2-pointers per game"
"2-pointers per game",-3.18915717379149,-1.8425596662275,0.532258064516129,-2.51585842000949,"2-pointers per game"
"2-pointers per game",-3.18286902876122,-1.83953039225059,0.537313432835821,-2.5111997105059,"2-pointers per game"
"2-pointers per game",-3.17597586488604,-1.83620635913223,0.542857142857143,-2.50609111200913,"2-pointers per game"
"2-pointers per game",-3.17520371149855,-1.83583379444123,0.543478260869565,-2.50551875296989,"2-pointers per game"
"2-pointers per game",-3.17274707181638,-1.83464817381831,0.545454545454545,-2.50369762281735,"2-pointers per game"
"2-pointers per game",-3.16709802848869,-1.83192016145896,0.55,-2.49950909497383,"2-pointers per game"
"2-pointers per game",-3.16313270582003,-1.83000384255558,0.553191489361702,-2.4965682741878,"2-pointers per game"
"2-pointers per game",-3.16019597822171,-1.82858386394872,0.555555555555556,-2.49438992108522,"2-pointers per game"
"2-pointers per game",-3.16019597822171,-1.82858386394872,0.555555555555556,-2.49438992108522,"2-pointers per game"
"2-pointers per game",-3.16019597822171,-1.82858386394872,0.555555555555556,-2.49438992108522,"2-pointers per game"
"2-pointers per game",-3.14528148964176,-1.82136245742015,0.567567567567568,-2.48332197353096,"2-pointers per game"
"2-pointers per game",-3.13511954070268,-1.81643262499212,0.575757575757576,-2.4757760828474,"2-pointers per game"
"2-pointers per game",-3.124383167298,-1.81121563325471,0.584415584415584,-2.46779940027635,"2-pointers per game"
"2-pointers per game",-3.11964859252358,-1.80891222901203,0.588235294117647,-2.4642804107678,"2-pointers per game"
"2-pointers per game",-3.11964859252358,-1.80891222901203,0.588235294117647,-2.4642804107678,"2-pointers per game"
"2-pointers per game",-3.11554187670818,-1.80691289158288,0.591549295774648,-2.46122738414553,"2-pointers per game"
"2-pointers per game",-3.09430947117308,-1.79655520894761,0.608695652173913,-2.44543234006034,"2-pointers per game"
"2-pointers per game",-3.09029453703783,-1.79459268313611,0.611940298507463,-2.44244361008697,"2-pointers per game"
"2-pointers per game",-3.08910318860524,-1.79401010142008,0.612903225806452,-2.44155664501266,"2-pointers per game"
"2-pointers per game",-3.08603355673595,-1.79250850643839,0.615384615384615,-2.43927103158717,"2-pointers per game"
"2-pointers per game",-3.08603355673595,-1.79250850643839,0.615384615384615,-2.43927103158717,"2-pointers per game"
"2-pointers per game",-3.08323525457957,-1.79113899445693,0.617647058823529,-2.43718712451825,"2-pointers per game"
"2-pointers per game",-3.0825739046973,-1.79081523433769,0.618181818181818,-2.43669456951749,"2-pointers per game"
"2-pointers per game",-3.07055105165154,-1.78492348855351,0.627906976744186,-2.42773727010253,"2-pointers per game"
"2-pointers per game",-3.06436760866417,-1.78188885193426,0.632911392405063,-2.42312823029922,"2-pointers per game"
"2-pointers per game",-3.0569848146089,-1.77826161391009,0.638888888888889,-2.4176232142595,"2-pointers per game"
"2-pointers per game",-3.05374921338887,-1.77667055514936,0.641509433962264,-2.41520988426912,"2-pointers per game"
"2-pointers per game",-3.0484118476969,-1.77404414515873,0.645833333333333,-2.41122799642781,"2-pointers per game"
"2-pointers per game",-3.04689943084571,-1.77329949788276,0.647058823529412,-2.41009946436423,"2-pointers per game"
"2-pointers per game",-3.03793980309133,-1.76888437937533,0.654320987654321,-2.40341209123333,"2-pointers per game"
"2-pointers per game",-3.03047154663049,-1.76519919893546,0.660377358490566,-2.39783537278297,"2-pointers per game"
"2-pointers per game",-3.02271966428706,-1.76136925320914,0.666666666666667,-2.3920444587481,"2-pointers per game"
"2-pointers per game",-3.02271966428706,-1.76136925320914,0.666666666666667,-2.3920444587481,"2-pointers per game"
"2-pointers per game",-3.02271966428706,-1.76136925320914,0.666666666666667,-2.3920444587481,"2-pointers per game"
"2-pointers per game",-3.02271966428706,-1.76136925320914,0.666666666666667,-2.3920444587481,"2-pointers per game"
"2-pointers per game",-3.01482251617962,-1.75746247420052,0.673076923076923,-2.38614249519007,"2-pointers per game"
"2-pointers per game",-3.01433914265952,-1.75722317920844,0.673469387755102,-2.38578116093398,"2-pointers per game"
"2-pointers per game",-3.00269541140944,-1.7514531040418,0.682926829268293,-2.37707425772562,"2-pointers per game"
"2-pointers per game",-2.99706809031234,-1.74866045221196,0.6875,-2.37286427126215,"2-pointers per game"
"2-pointers per game",-2.99115433224293,-1.74572281585821,0.692307692307692,-2.36843857405057,"2-pointers per game"
"2-pointers per game",-2.99115433224293,-1.74572281585821,0.692307692307692,-2.36843857405057,"2-pointers per game"
"2-pointers per game",-2.98794779186723,-1.74412876138502,0.694915254237288,-2.36603827662612,"2-pointers per game"
"2-pointers per game",-2.98401612945646,-1.74217305850412,0.69811320754717,-2.36309459398029,"2-pointers per game"
"2-pointers per game",-2.981696907852,-1.7410188161851,0.7,-2.36135786201855,"2-pointers per game"
