"player","team","season","fitted","actual","residual","id"
"danny granger","Indiana Pacers",2009,14.4701807299925,2.72694199990755,-11.7432387307755,"danny granger (2009)"
"pau gasol","Chicago Bulls",2015,18.8932413222521,7.55173471945048,-11.3415066031903,"pau gasol (2015)"
"pau gasol","Chicago Bulls",2016,18.8787496380558,7.79324451780954,-11.0855051195556,"pau gasol (2016)"
"giannis antetokounmpo","Milwaukee Bucks",2017,14.1000928085288,3.06858665301868,-11.0315061552008,"giannis antetokounmpo (2017)"
"allen iverson","Memphis Grizzlies",2010,11.3279354293797,1.37173076455306,-9.95620466521553,"allen iverson (2010)"
"al jefferson","Minnesota Timberwolves",2008,12.4684331692058,2.89345073194303,-9.57498243760076,"al jefferson (2008)"
"kevin durant","Oklahoma City Thunder",2010,14.4552990424097,5.52395764692932,-8.93134139593372,"kevin durant (2010)"
"isaiah thomas","Boston Celtics",2017,15.5645901075432,6.74802818597861,-8.81656192137783,"isaiah thomas (2017)"
"luis scola","Houston Rockets",2010,12.6811514497531,3.88724992765602,-8.79390152201681,"luis scola (2010)"
"greivis vasquez","New Orleans Hornets",2013,9.77798627270268,1.28404983381416,-8.49393643852761,"greivis vasquez (2013)"
